location_id,location_name,location_type,city,channel_id,sku_id,style,size,color,stock_on_hand,reserved,in_transit,daily_velocity,lead_time_hours,last_count_accuracy_pct
STR-001,Phoenix Palladium,STORE,Mumbai,STORE,ARZ-BLK-36,Arizona,36,Black,4,0,0,1.6,30,97.9
STR-001,Phoenix Palladium,STORE,Mumbai,STORE,ARZ-BLK-37,Arizona,37,Black,5,0,0,1.57,12,99.1
STR-001,Phoenix Palladium,STORE,Mumbai,STORE,ARZ-BLK-38,Arizona,38,Black,3,0,0,1.81,30,96.0
STR-001,Phoenix Palladium,STORE,Mumbai,STORE,ARZ-BLK-39,Arizona,39,Black,5,1,0,1.47,12,96.2
STR-001,Phoenix Palladium,STORE,Mumbai,STORE,ARZ-BLK-40,Arizona,40,Black,4,0,0,1.33,18,96.1
STR-001,Phoenix Palladium,STORE,Mumbai,STORE,ARZ-BLK-41,Arizona,41,Black,10,0,0,0.24,12,98.2
STR-001,Phoenix Palladium,STORE,Mumbai,STORE,ARZ-BLK-42,Arizona,42,Black,4,1,0,0.82,18,95.1
STR-001,Phoenix Palladium,STORE,Mumbai,STORE,ARZ-BLK-43,Arizona,43,Black,5,1,0,1.26,18,97.6
STR-001,Phoenix Palladium,STORE,Mumbai,STORE,ARZ-BLK-44,Arizona,44,Black,3,0,0,0.12,24,96.7
STR-001,Phoenix Palladium,STORE,Mumbai,STORE,ARZ-BLK-45,Arizona,45,Black,5,0,0,0.88,18,97.8
STR-001,Phoenix Palladium,STORE,Mumbai,STORE,ARZ-BLK-46,Arizona,46,Black,3,0,0,1.18,18,97.9
STR-001,Phoenix Palladium,STORE,Mumbai,STORE,ARZ-MOC-36,Arizona,36,Mocha,5,0,0,0.5,12,95.4
STR-001,Phoenix Palladium,STORE,Mumbai,STORE,ARZ-MOC-37,Arizona,37,Mocha,1,1,0,0.24,18,98.2
STR-001,Phoenix Palladium,STORE,Mumbai,STORE,ARZ-MOC-38,Arizona,38,Mocha,4,1,0,0.78,12,99.2
STR-001,Phoenix Palladium,STORE,Mumbai,STORE,ARZ-MOC-39,Arizona,39,Mocha,5,0,0,1.45,30,94.3
STR-001,Phoenix Palladium,STORE,Mumbai,STORE,ARZ-MOC-40,Arizona,40,Mocha,3,0,0,0.54,30,97.9
STR-001,Phoenix Palladium,STORE,Mumbai,STORE,ARZ-MOC-41,Arizona,41,Mocha,6,1,0,1.75,30,98.8
STR-001,Phoenix Palladium,STORE,Mumbai,STORE,ARZ-MOC-42,Arizona,42,Mocha,4,0,0,1.06,30,96.6
STR-001,Phoenix Palladium,STORE,Mumbai,STORE,ARZ-MOC-43,Arizona,43,Mocha,5,1,0,0.59,24,96.6
STR-001,Phoenix Palladium,STORE,Mumbai,STORE,ARZ-MOC-44,Arizona,44,Mocha,1,0,0,1.34,24,99.2
STR-001,Phoenix Palladium,STORE,Mumbai,STORE,ARZ-MOC-45,Arizona,45,Mocha,4,0,0,0.77,12,96.4
STR-001,Phoenix Palladium,STORE,Mumbai,STORE,ARZ-MOC-46,Arizona,46,Mocha,4,1,0,0.68,18,98.8
STR-001,Phoenix Palladium,STORE,Mumbai,STORE,BST-TAU-36,Boston,36,Taupe,2,0,0,1.74,30,96.8
STR-001,Phoenix Palladium,STORE,Mumbai,STORE,BST-TAU-37,Boston,37,Taupe,5,0,0,1.74,30,97.1
STR-001,Phoenix Palladium,STORE,Mumbai,STORE,BST-TAU-38,Boston,38,Taupe,3,1,0,1.66,30,96.8
STR-001,Phoenix Palladium,STORE,Mumbai,STORE,BST-TAU-39,Boston,39,Taupe,1,1,0,0.78,30,99.3
STR-001,Phoenix Palladium,STORE,Mumbai,STORE,BST-TAU-40,Boston,40,Taupe,6,0,0,1.68,30,94.8
STR-001,Phoenix Palladium,STORE,Mumbai,STORE,BST-TAU-41,Boston,41,Taupe,4,0,0,0.91,24,95.2
STR-001,Phoenix Palladium,STORE,Mumbai,STORE,BST-TAU-42,Boston,42,Taupe,4,1,0,0.77,12,96.7
STR-001,Phoenix Palladium,STORE,Mumbai,STORE,BST-TAU-43,Boston,43,Taupe,6,0,0,1.4,24,95.3
STR-001,Phoenix Palladium,STORE,Mumbai,STORE,BST-TAU-44,Boston,44,Taupe,6,0,0,0.18,18,98.9
STR-001,Phoenix Palladium,STORE,Mumbai,STORE,BST-TAU-45,Boston,45,Taupe,5,0,0,1.18,12,97.3
STR-001,Phoenix Palladium,STORE,Mumbai,STORE,BST-TAU-46,Boston,46,Taupe,4,0,0,1.43,12,98.5
STR-001,Phoenix Palladium,STORE,Mumbai,STORE,BST-BLK-36,Boston,36,Black,5,0,0,0.4,12,99.4
STR-001,Phoenix Palladium,STORE,Mumbai,STORE,BST-BLK-37,Boston,37,Black,1,0,0,0.76,18,94.6
STR-001,Phoenix Palladium,STORE,Mumbai,STORE,BST-BLK-38,Boston,38,Black,2,0,0,1.44,12,96.0
STR-001,Phoenix Palladium,STORE,Mumbai,STORE,BST-BLK-39,Boston,39,Black,2,0,2,0.99,30,94.6
STR-001,Phoenix Palladium,STORE,Mumbai,STORE,BST-BLK-40,Boston,40,Black,5,1,0,1.77,30,95.0
STR-001,Phoenix Palladium,STORE,Mumbai,STORE,BST-BLK-41,Boston,41,Black,3,1,0,1.17,24,95.9
STR-001,Phoenix Palladium,STORE,Mumbai,STORE,BST-BLK-42,Boston,42,Black,4,0,0,0.54,30,95.4
STR-001,Phoenix Palladium,STORE,Mumbai,STORE,BST-BLK-43,Boston,43,Black,3,0,0,0.77,24,95.1
STR-001,Phoenix Palladium,STORE,Mumbai,STORE,BST-BLK-44,Boston,44,Black,4,0,0,0.48,24,97.2
STR-001,Phoenix Palladium,STORE,Mumbai,STORE,BST-BLK-45,Boston,45,Black,3,1,0,0.53,18,98.0
STR-001,Phoenix Palladium,STORE,Mumbai,STORE,BST-BLK-46,Boston,46,Black,3,1,0,1.23,12,94.5
STR-001,Phoenix Palladium,STORE,Mumbai,STORE,GIZ-BLK-36,Gizeh,36,Black,4,0,0,0.64,24,96.5
STR-001,Phoenix Palladium,STORE,Mumbai,STORE,GIZ-BLK-37,Gizeh,37,Black,5,0,0,1.4,30,95.6
STR-001,Phoenix Palladium,STORE,Mumbai,STORE,GIZ-BLK-38,Gizeh,38,Black,3,0,0,0.45,18,95.1
STR-001,Phoenix Palladium,STORE,Mumbai,STORE,GIZ-BLK-39,Gizeh,39,Black,4,0,0,1.39,24,99.7
STR-001,Phoenix Palladium,STORE,Mumbai,STORE,GIZ-BLK-40,Gizeh,40,Black,5,0,0,0.74,24,94.3
STR-001,Phoenix Palladium,STORE,Mumbai,STORE,GIZ-BLK-41,Gizeh,41,Black,4,0,0,0.21,18,97.7
STR-001,Phoenix Palladium,STORE,Mumbai,STORE,GIZ-BLK-42,Gizeh,42,Black,5,0,0,0.14,30,96.0
