date,sku_id,style,size,city,channel_id,units_sold,gross_sales_inr,discount_pct
2026-02-01,ARZ-MOC-36,Arizona,36,Hyderabad,D2C,3,20970,0
2026-02-01,BST-TAU-45,Boston,45,Ahmedabad,STORE,2,19980,0
2026-02-01,GIZ-BLK-43,Gizeh,43,Kolkata,STORE,5,29950,5
2026-02-01,ARZ-BLK-46,Arizona,46,Pune,STORE,2,13980,0
2026-02-01,GIZ-BLK-37,Gizeh,37,Delhi NCR,D2C,1,5990,0
2026-02-01,GIZ-BLK-36,Gizeh,36,Kochi,STORE,1,5990,5
2026-02-01,ARZ-MOC-42,Arizona,42,Kochi,STORE,4,27960,5
2026-02-01,ARZ-MOC-46,Arizona,46,Bengaluru,D2C,4,27960,5
2026-02-01,EVA-BLK-36,Arizona EVA,36,Kochi,STORE,1,4490,0
2026-02-01,GIZ-BLK-41,Gizeh,41,Ahmedabad,STORE,2,11980,0
2026-02-01,ARZ-MOC-38,Arizona,38,Mumbai,NYK,5,34950,0
2026-02-01,MIL-BRN-42,Milano,42,Delhi NCR,AMZ,2,16980,10
2026-02-01,BST-BLK-44,Boston,44,Jaipur,STORE,4,39960,0
2026-02-01,BST-BLK-37,Boston,37,Hyderabad,D2C,4,39960,0
2026-02-01,MIL-BRN-44,Milano,44,Kolkata,STORE,1,8490,5
2026-02-01,ARZ-BLK-39,Arizona,39,Mumbai,STORE,4,27960,0
2026-02-01,ARZ-MOC-41,Arizona,41,Pune,STORE,4,27960,0
2026-02-01,MIL-BRN-46,Milano,46,Ahmedabad,MYN,2,16980,10
2026-02-01,BST-BLK-42,Boston,42,Kolkata,STORE,1,9990,0
2026-02-01,MAY-WHT-41,Mayari,41,Pune,STORE,2,14980,0
2026-02-01,BST-BLK-36,Boston,36,Delhi NCR,STORE,2,19980,5
2026-02-01,MAY-WHT-44,Mayari,44,Mumbai,D2C,1,7490,5
2026-02-01,BST-BLK-40,Boston,40,Chandigarh,D2C,2,19980,0
2026-02-02,ZUR-GRY-43,Zurich,43,Mumbai,STORE,2,17980,5
